x,y
3234,448
3235,448
3236,448
3237,448
3238,448
3239,448
3240,448
3241,447
3242,444
3243,444
3244,443
3245,444
3246,445
3247,449
3248,449
3249,451
3250,449
3251,445
3252,445
3253,443
3254,443
3255,444
3256,447
3257,449
3258,452
3259,452
3260,453
3261,456
3262,460
3263,460
3264,469
3265,473
3266,479
3267,485
3268,487
3269,492
3270,495
3271,496
3272,498
3273,500
3274,500
3275,503
3280,503
3282,503
3283,505
3284,506
3285,510
3286,512
3287,512
3288,514
3289,515
3290,515
3291,517
3292,517
3293,517
3294,517
3295,518
3296,521
3297,524
3298,527
3299,528
3300,530
3301,530
3302,530
3303,530
3304,531
3305,531
3306,531
3307,532
3308,533
3309,533
3310,533
3311,533
3312,533
3313,533
3314,533
3315,533
3316,533
3317,532
3318,530
3319,531
3320,531
3321,530
3322,530
3323,530
3324,530
3325,528
3326,529
3327,528
3328,531
3329,535
3330,537
3331,538
3332,541
3333,539
3334,536
3335,530
3336,529
3337,520
3338,519
3339,524
3340,526
3341,531
3342,530
3343,530
3344,533
3345,534
